tag,brand_No,product_No,us_price,brand_name_chn,brand_name_eng,product_name,img_url
,10321,20000384842,$165,珑骧,LONGCHAMP,LE PLIAGE NEO   单肩包,http://static.lottedfs.cn/prod/prd-img/87/25/44/00/00/02/20000442587_10.jpg
,10321,20000460897,$140,珑骧,LONGCHAMP,LE PLIAGE CLUB LARGE SHOULDER GUNMETAL 单肩包,http://static.lottedfs.cn/prod/prd-img/95/42/50/00/00/02/20000504295_1.JPG
,10321,20000414965,$188,珑骧,LONGCHAMP,LE PLIAGE NEO 手提包,http://static.lottedfs.cn/prod/prd-img/69/42/43/00/00/02/20000434269_10.jpg
,10321,20000396733,$145,珑骧,LONGCHAMP,LE PLIAGE NEO  单肩包,http://static.lottedfs.cn/prod/prd-img/57/76/49/00/00/02/20000497657_1.jpg
促销 畅销,10321,20000512087,$112,珑骧,LONGCHAMP,LE PLIAGE CLUB TOTE MEDIUM BILBERRY 手提包,http://static.lottedfs.cn/prod/prd-img/63/25/58/00/00/02/20000582563_1.JPG
,10321,20000384843,$113,珑骧,LONGCHAMP,LE PLIAGE SHOULDER MEDIUM 单肩包 BLACK,http://static.lottedfs.cn/prod/prd-img/12/06/45/00/00/02/20000450612_6.jpg
,10321,20000243083,$180,珑骧,LONGCHAMP,LE PLIAGE NEO 手提包,http://static.lottedfs.cn/prod/prd-img/24/13/75/00/00/02/20000751324_6.JPG
,10321,20000578014,$130,珑骧,LONGCHAMP,LE PLIAGE CLUB SHOULDER 单肩包 GUN METAL,http://static.lottedfs.cn/prod/prd-img/50/76/68/00/00/02/20000687650_1.JPG
,10321,20000384839,$128,珑骧,LONGCHAMP,LE PLIAGE SHOULDER LARGE  单肩包 BLACK,http://static.lottedfs.cn/prod/prd-img/64/93/44/00/00/02/20000449364_7.jpg
,10321,20000576063,$130,珑骧,LONGCHAMP,LE PLIAGE CLUB SHOULDER MEDIUM 单肩包 BROWN,http://static.lottedfs.cn/prod/prd-img/89/43/68/00/00/02/20000684389_1.JPG
,10321,20000580759,$102,珑骧,LONGCHAMP,LE PLIAGE CLUB TOTE SMALL HAWTHORN 手提包,http://static.lottedfs.cn/prod/prd-img/04/12/69/00/00/02/20000691204_1.JPG
,10321,20000460899,$140,珑骧,LONGCHAMP,LE PLIAGE CLUB LARGE SHOULDER  单肩包 NAVY,http://static.lottedfs.cn/prod/prd-img/97/42/50/00/00/02/20000504297_1.JPG
,10321,20000593685,$115,珑骧,LONGCHAMP,LE PLIAGE CLUB TOTE SMALL BLACK 手提包,http://static.lottedfs.cn/prod/prd-img/18/27/71/00/00/02/20000712718_1.JPG
,10321,20000384844,$113,珑骧,LONGCHAMP,LE PLIAGE SHOULDER MEDIUM   单肩包 NAVY,http://static.lottedfs.cn/prod/prd-img/14/06/45/00/00/02/20000450614_1.jpg
