tag,brand_No,product_No,us_price,brand_name_chn,brand_name_eng,product_name,img_url
畅销,16398,20000374941,$56,蒂普提克,DIPTYQUE,DOSON SHOWER OIL  沐浴精油   200ml,http://static.lottedfs.cn/prod/prd-img/74/67/38/00/00/02/20000386774_1.jpg
,16398,20000522154,$159,蒂普提克,DIPTYQUE,EAU DE PARFUM DO SON 香水 75ml,http://static.lottedfs.cn/prod/prd-img/41/10/45/01/00/01/10001451041_2.jpg
畅销,16398,10001380191,$103,蒂普提克,DIPTYQUE,EAU DE TOILETTE PHILOSYKOS  50ml,http://static.lottedfs.cn/prod/prd-img/91/01/38/01/00/01/10001380191_02.jpg
,16398,10003205466,$102,蒂普提克,DIPTYQUE,DPT 5 EDT SET SENS DOS PHI ROSE OMB   香水套装,http://static.lottedfs.cn/prod/prd-img/66/54/20/03/00/01/10003205466_2.jpg
,16398,20000436192,$159,蒂普提克,DIPTYQUE,EDP FLEUR DE PEAU 香水 75ml,http://static.lottedfs.cn/prod/prd-img/36/60/46/00/00/02/20000466036_3.jpg
,16398,20000522155,$134,蒂普提克,DIPTYQUE,EAU DE TOILETTE DO SON 香水 100ml,http://static.lottedfs.cn/prod/prd-img/55/65/59/00/00/02/20000596555_3.jpg
免税独家,16398,20000536165,$132,蒂普提克,DIPTYQUE,EXCLUSIVE SET DO SON EDT 香水套装 30ml X 2 (免税专享),http://static.lottedfs.cn/prod/prd-img/76/94/61/00/00/02/20000619476_1.jpg
,16398,10001380243,$103,蒂普提克,DIPTYQUE,EAU DE TOILETTE TAM DAO  香水 50ML,http://static.lottedfs.cn/prod/prd-img/43/02/38/01/00/01/10001380243_01.jpg
,16398,20000522181,$159,蒂普提克,DIPTYQUE,EAU DE PARFUM TAM DAO 香水 75ml,http://static.lottedfs.cn/prod/prd-img/92/65/59/00/00/02/20000596592_2.jpg
,16398,10002258803,$103,蒂普提克,DIPTYQUE,EAU DES SENS 香水 50ml,http://static.lottedfs.cn/prod/prd-img/03/88/25/02/00/01/10002258803_01.jpg
,16398,20000483026,$159,蒂普提克,DIPTYQUE,EAU DE PARFUM LOMBRE DANS LEAU 香水 75ml,http://static.lottedfs.cn/prod/prd-img/11/67/53/00/00/02/20000536711_2.jpg
,16398,10002039178,$62,蒂普提克,DIPTYQUE,ROOM SPRAY BAIES 芳香喷雾 150ml,http://static.lottedfs.cn/prod/prd-img/78/91/03/02/00/01/10002039178_4.jpg
,16398,10001380227,$103,蒂普提克,DIPTYQUE,EAU DE TOILETTE DO SON  香水 50ML,http://static.lottedfs.cn/prod/prd-img/27/02/38/01/00/01/10001380227_01.jpg
,16398,20000522183,$159,蒂普提克,DIPTYQUE,EAU DE PARFUM PHILOSYKOS 香水 75ml,http://static.lottedfs.cn/prod/prd-img/94/65/59/00/00/02/20000596594_2.jpg
,16398,20000522185,$134,蒂普提克,DIPTYQUE,EAU DES SENS 香水 100ml,http://static.lottedfs.cn/prod/prd-img/96/65/59/00/00/02/20000596596_4.jpg
畅销,16398,20000559578,$188,套装商品,,DOSON SHOWER OIL 沐浴油 200ml + EXCLUSIVE SET DO SON EDT 香水 30ml X 2 (免税店专售) 套装,http://static.lottedfs.cn/prod/prd-img/73/10/66/00/00/02/20000661073_1.jpg
,16398,20000522173,$134,蒂普提克,DIPTYQUE,EAU DE TOILETTE PHILOSYKOS 香水 100ml,http://static.lottedfs.cn/prod/prd-img/89/01/38/01/00/01/10001380189_3.jpg
,16398,20000374943,$40,蒂普提克,DIPTYQUE,O ROSE HAND CREAM  护手霜 45ml,http://static.lottedfs.cn/prod/prd-img/76/67/38/00/00/02/20000386776_2.jpg
,16398,20000249544,$41,蒂普提克,DIPTYQUE,LUXURIOUS HAND BALM   护手霜,http://static.lottedfs.cn/prod/prd-img/56/81/25/00/00/02/20000258156_2.JPG
,16398,20000542499,$62,蒂普提克,DIPTYQUE,SCENTED CANDLE BAIES 香薰蜡烛 190g,http://static.lottedfs.cn/prod/prd-img/23/17/14/00/00/01/10000141723_6.jpg
,16398,10001380193,$103,蒂普提克,DIPTYQUE,EAU DE TOILETTE LOMBRE DANS  香水 50ml,http://static.lottedfs.cn/prod/prd-img/93/01/38/01/00/01/10001380193_02.jpg
,16398,20000427515,$134,蒂普提克,DIPTYQUE,EAU DE TOILETTE EAU ROSE 香水 100ml,http://static.lottedfs.cn/prod/prd-img/09/15/45/00/00/02/20000451509_1.jpg
,16398,10001827222,$55,蒂普提克,DIPTYQUE,PARFUM SOLIDE LOMBRE DANS LEAU 3.6g,http://static.lottedfs.cn/prod/prd-img/22/72/82/01/00/01/10001827222_02.jpg
畅销,16398,10000148230,$52,蒂普提克,DIPTYQUE,Satin Oil For Body And Hair 100ml,http://static.lottedfs.cn/prod/prd-img/30/82/14/00/00/01/10000148230_3.jpg
,16398,20000522158,$134,蒂普提克,DIPTYQUE,EAU DE TOILETTE TAM DAO 香水 100ml,http://static.lottedfs.cn/prod/prd-img/44/02/38/01/00/01/10001380244_2.jpg
赠品,16398,20000616559,$132,蒂普提克,DIPTYQUE,SET DOSON XM19 香水+香薰组合,http://static.lottedfs.cn/prod/prd-img/09/75/75/00/00/02/20000757509_1.png
,16398,10002225573,$59,蒂普提克,DIPTYQUE,BAIES SCENTED OVAL 室内挂香 35g,http://static.lottedfs.cn/prod/prd-img/73/55/22/02/00/01/10002225573_4.jpg
,16398,10001827218,$55,蒂普提克,DIPTYQUE,Parfum Solide Do Son 3.6g,http://static.lottedfs.cn/prod/prd-img/18/72/82/01/00/01/10001827218_01.jpg
,16398,10001632416,$72,蒂普提克,DIPTYQUE,PRECIOUS OIL FOR BODY AND BATH  125ml,http://static.lottedfs.cn/prod/prd-img/16/24/63/01/00/01/10001632416_4.jpg
,16398,10001380240,$103,蒂普提克,DIPTYQUE,EAU DE TOILETTE OYEDO  香水 50ml,http://static.lottedfs.cn/prod/prd-img/40/02/38/01/00/01/10001380240_01.jpg
,16398,10001633421,$57,蒂普提克,DIPTYQUE,PARFUM SOLIDE 34 BOULEVARD SAINT GERMAIN  固体香膏 3.6g,http://static.lottedfs.cn/prod/prd-img/21/34/63/01/00/01/10001633421_4.jpg
,16398,10000141724,$39,蒂普提克,DIPTYQUE,SCENTED CANDLE BAIES  香味蜡烛 70g,http://static.lottedfs.cn/prod/prd-img/24/17/14/00/00/01/10000141724_6.jpg
,16398,20000522178,$134,蒂普提克,DIPTYQUE,EAU DE TOILETTE L OMBRE DANS L EAU 香水 100ml,http://static.lottedfs.cn/prod/prd-img/92/01/38/01/00/01/10001380192_3.jpg
赠品,16398,20000616548,$82,蒂普提克,DIPTYQUE,HAND CARE DUO SET 手部护理组合,http://static.lottedfs.cn/prod/prd-img/89/74/75/00/00/02/20000757489_1.jpg
,16398,10001827219,$52,蒂普提克,DIPTYQUE,FRESH BODY LOTION FOR THE BODY  身体润肤乳  200ml,http://static.lottedfs.cn/prod/prd-img/19/72/82/01/00/01/10001827219_8.jpg
,16398,20000392450,$56,蒂普提克,DIPTYQUE,L OMGRE DANS L EAU SHOWER OIL 沐浴精油 200ml,http://static.lottedfs.cn/prod/prd-img/35/78/40/00/00/02/20000407835_1.jpg
,16398,10002858357,$26,蒂普提克,DIPTYQUE,DIPTYQUE NOURISHING LIP BALM    唇膏  15ml,http://static.lottedfs.cn/prod/prd-img/57/83/85/02/00/01/10002858357_2.jpg
,16398,10001827221,$55,蒂普提克,DIPTYQUE,PARFUM SOLIDE PHILOSYKOS  3.6g,http://static.lottedfs.cn/prod/prd-img/21/72/82/01/00/01/10001827221_01.jpg
,16398,20000451458,$57,蒂普提克,DIPTYQUE,HAIR MIST EAU DES SENS 护发喷雾 30ml,http://static.lottedfs.cn/prod/prd-img/17/06/49/00/00/02/20000490617_1.jpg
,16398,20000374940,$61,蒂普提克,DIPTYQUE,DOSON BODY MIST  身体喷雾 200ml,http://static.lottedfs.cn/prod/prd-img/73/67/38/00/00/02/20000386773_1.jpg
,16398,20000522180,$134,蒂普提克,DIPTYQUE,EAU DE TOILETTE VETYVERIO 香水 100ml,http://static.lottedfs.cn/prod/prd-img/17/72/82/01/00/01/10001827217_2.jpg
,16398,10002143194,$60,蒂普提克,DIPTYQUE,PERFUME OIL DOSON  香水  7.5ml,http://static.lottedfs.cn/prod/prd-img/94/31/14/02/00/01/10002143194_04.jpg
,16398,20000596556,$80,蒂普提克,DIPTYQUE,BODY BALM FLEUR DE PEAU 身体润肤霜 200ml,http://static.lottedfs.cn/prod/prd-img/36/82/71/00/00/02/20000718236_1.jpg
,16398,10000153152,$102,蒂普提克,DIPTYQUE,BAIES FIGUIER ROSES SET OF MINI CANDLES 香薰蜡烛,http://static.lottedfs.cn/prod/prd-img/52/31/15/00/00/01/10000153152_3.jpg
,16398,20000563926,$159,蒂普提克,DIPTYQUE,EDP EAU DE MINTHE 香水 75ml,http://static.lottedfs.cn/prod/prd-img/59/78/66/00/00/02/20000667859_1.jpg
,16398,20000374942,$61,蒂普提克,DIPTYQUE,OROSE HAND AND BODYLOTION   护手霜润肤霜二合一   200ml,http://static.lottedfs.cn/prod/prd-img/75/67/38/00/00/02/20000386775_1.jpg
,16398,10002225586,$59,蒂普提克,DIPTYQUE,SCENTED OVAL ROSES 室内挂香 35g,http://static.lottedfs.cn/prod/prd-img/86/55/22/02/00/01/10002225586_3.jpg
免税独家,16398,20000537009,$118,蒂普提克,DIPTYQUE,EXCLUSIVE SET EAU ROSE HAND CREAM 护手霜套装 45ml*3,http://static.lottedfs.cn/prod/prd-img/91/12/62/00/00/02/20000621291_1.jpg
,16398,10001429102,$60,蒂普提克,DIPTYQUE,Perfume Oil L Ombre Dans L Eau 7.5ml,http://static.lottedfs.cn/prod/prd-img/02/91/42/01/00/01/10001429102_01.jpg
,16398,10000169328,$37,蒂普提克,DIPTYQUE,REVITALIZING SHOWER GEL FOR BODY AND HAIR  沐浴露洗发露二合一 200ml,http://static.lottedfs.cn/prod/prd-img/28/93/16/00/00/01/10000169328_4.jpg
,16398,10000141733,$62,蒂普提克,DIPTYQUE,SCENTED CANDLE FIGUIER 香薰蜡烛 190g,http://static.lottedfs.cn/prod/prd-img/33/17/14/00/00/01/10000141733_6.jpg
,16398,20000522186,$134,蒂普提克,DIPTYQUE,EAU DE TOILETTE OYEDO 香水 100ml,http://static.lottedfs.cn/prod/prd-img/41/02/38/01/00/01/10001380241_2.jpg
畅销,16398,10002071168,$103,蒂普提克,DIPTYQUE,EDT EAU PLURIELLE 女士香水 200ml,http://static.lottedfs.cn/prod/prd-img/68/11/07/02/00/01/10002071168_5.jpg
,16398,20000392449,$80,蒂普提克,DIPTYQUE,L OMBRE DANS L EAU BODY BALM 润肤霜 200ml,http://static.lottedfs.cn/prod/prd-img/34/78/40/00/00/02/20000407834_2.jpg
,16398,20000374938,$159,蒂普提克,DIPTYQUE,VETY BERIO EDP  香水  75ml,http://static.lottedfs.cn/prod/prd-img/71/67/38/00/00/02/20000386771_2.jpg
畅销,16398,10001429103,$60,蒂普提克,DIPTYQUE,Perfume Oil Philosykos 香水 7.5ML,http://static.lottedfs.cn/prod/prd-img/03/91/42/01/00/01/10001429103_01.jpg
,16398,10000156111,$65,蒂普提克,DIPTYQUE,SMOOTHING BODY POLISH  身体磨砂膏 200ml,http://static.lottedfs.cn/prod/prd-img/11/61/15/00/00/01/10000156111_5.jpg
免税独家,16398,20000536287,$157,蒂普提克,DIPTYQUE,EXCLUSIVE SET EDT EAU ROSE ROLL-ON 香水套装 20ml X 3,http://static.lottedfs.cn/prod/prd-img/69/98/61/00/00/02/20000619869_1.jpg
,16398,10001884677,$103,蒂普提克,DIPTYQUE,Eau De Toilette Vetyverio 香水 50ml,http://static.lottedfs.cn/prod/prd-img/77/46/88/01/00/01/10001884677_01.jpg
,16398,10001380237,$103,蒂普提克,DIPTYQUE,AU DE TOILETTE OLENE  香水 50ml,http://static.lottedfs.cn/prod/prd-img/37/02/38/01/00/01/10001380237_01.jpg
,16398,10001380233,$103,蒂普提克,DIPTYQUE,EAU DE TOILETTE DUELLE  香水 50ml,http://static.lottedfs.cn/prod/prd-img/33/02/38/01/00/01/10001380233_01.jpg
,16398,10000141734,$39,蒂普提克,DIPTYQUE,Scented Candle Figuier 香味蜡烛 70g,http://static.lottedfs.cn/prod/prd-img/34/17/14/00/00/01/10000141734_5.jpg
,16398,20000596547,$45,蒂普提克,DIPTYQUE,SHOWER BALM TAM DAO 沐浴露 200ml,http://static.lottedfs.cn/prod/prd-img/13/82/71/00/00/02/20000718213_1.jpg
,16398,20000522194,$159,蒂普提克,DIPTYQUE,EAU DE PARFUM EAU EUELLE 香水 75ml,http://static.lottedfs.cn/prod/prd-img/74/34/85/01/00/01/10001853474_4.jpg
,16398,10003152033,$52,蒂普提克,DIPTYQUE,DPT 2017 REFILL FOR HG DIFFUSER BAIES 芳香剂 75ml,http://static.lottedfs.cn/prod/prd-img/33/20/15/03/00/01/10003152033_2.jpg
,16398,10002290262,$30,蒂普提克,DIPTYQUE,DPT SOAP LOMBRE DANS LEAU 香皂 150g,http://static.lottedfs.cn/prod/prd-img/62/02/29/02/00/01/10002290262_7.jpg
,16398,20000436197,$159,蒂普提克,DIPTYQUE,EDP TEMPO 香水  75ml,http://static.lottedfs.cn/prod/prd-img/41/60/46/00/00/02/20000466041_1.png
,16398,10003152034,$182,蒂普提克,DIPTYQUE,DIPTYQUE 2017 HG DIFFUSER BAIES 扩香精 75ml,http://static.lottedfs.cn/prod/prd-img/34/20/15/03/00/01/10003152034_2.jpg
畅销,16398,10000187514,$99,蒂普提克,DIPTYQUE,Scented Candle Green Figuier 香味蜡烛 300g,http://static.lottedfs.cn/prod/prd-img/14/75/18/00/00/01/10000187514_4.jpg
,16398,10000176667,$99,蒂普提克,DIPTYQUE,SCENTED CANDLE BALCK BALES 香味蜡烛 300g,http://static.lottedfs.cn/prod/prd-img/67/66/17/00/00/01/10000176667_5.jpg
,16398,20000427517,$55,蒂普提克,DIPTYQUE,SOLID PERFUME EAU ROSE 固体香水  3.6g,http://static.lottedfs.cn/prod/prd-img/11/15/45/00/00/02/20000451511_1.jpg
,16398,10002262601,$68,蒂普提克,DIPTYQUE,DPT ROOM SPRAY 34BLVD 100ml,http://static.lottedfs.cn/prod/prd-img/01/26/26/02/00/01/10002262601_4.jpg
,16398,10002225578,$59,蒂普提克,DIPTYQUE,FIGUIER SCENTED OVAL 室内挂香 35g,http://static.lottedfs.cn/prod/prd-img/78/55/22/02/00/01/10002225578_3.jpg
,16398,10001638695,$150,蒂普提克,DIPTYQUE,EAU DE TOILETTE L EAU DU TRENTEQUATRE  香水 100ml,http://static.lottedfs.cn/prod/prd-img/95/86/63/01/00/01/10001638695_01.jpg
,16398,10000141748,$62,蒂普提克,DIPTYQUE,ROOM SPRAY ROSES  150ml,http://static.lottedfs.cn/prod/prd-img/48/17/14/00/00/01/10000141748_4.jpg
,16398,20000451521,$134,蒂普提克,DIPTYQUE,EDT GERANIUM ODORATA 香水 100ml,http://static.lottedfs.cn/prod/prd-img/22/07/49/00/00/02/20000490722_1.jpg
,16398,20000522187,$134,蒂普提克,DIPTYQUE,EAU DE TOILETTE OLENE 香水 100ml,http://static.lottedfs.cn/prod/prd-img/08/79/40/01/00/01/10001407908_01.jpg
,16398,20000430556,$45,蒂普提克,DIPTYQUE,HAND AND BODY GEL PHILOSYKOS  无花果洗手沐浴露,http://static.lottedfs.cn/prod/prd-img/25/55/45/00/00/02/20000455525_1.jpg
,16398,20000374937,$41,蒂普提克,DIPTYQUE,SOFTENING HAND WASH  洗手液,http://static.lottedfs.cn/prod/prd-img/70/67/38/00/00/02/20000386770_7.jpg
,16398,10000169326,$150,蒂普提克,DIPTYQUE,EAU DE TOILETTE 34 BLVD SAINT GERMAIN  100ml,http://static.lottedfs.cn/prod/prd-img/26/93/16/00/00/01/10000169326_3.jpg
,16398,10000141740,$62,蒂普提克,DIPTYQUE,SCENTED CANDLE MIMOSA 190g,http://static.lottedfs.cn/prod/prd-img/40/17/14/00/00/01/10000141740_7.jpg
,16398,20000451401,$134,蒂普提克,DIPTYQUE,EDT EAU MOHELI 香水 100ml,http://static.lottedfs.cn/prod/prd-img/42/05/49/00/00/02/20000490542_1.jpg
畅销,16398,10000174036,$39,蒂普提克,DIPTYQUE,SCENTED CANDLE ROSES 70g,http://static.lottedfs.cn/prod/prd-img/36/40/17/00/00/01/10000174036_6.jpg
,16398,10000141745,$62,蒂普提克,DIPTYQUE,SCENTED CANDLE TUBEREUSE  190g,http://static.lottedfs.cn/prod/prd-img/45/17/14/00/00/01/10000141745_6.jpg
,16398,20000522189,$134,蒂普提克,DIPTYQUE,EAU DE TOILETTE DUELLE 香水 100ml,http://static.lottedfs.cn/prod/prd-img/04/79/40/01/00/01/10001407904_01.jpg
畅销,16398,10000174039,$62,蒂普提克,DIPTYQUE,SCENTED CANDLE SANTAL  190G,http://static.lottedfs.cn/prod/prd-img/39/40/17/00/00/01/10000174039_5.jpg
,16398,10000153156,$36,蒂普提克,DIPTYQUE,SNUFFER 香薰蜡,http://static.lottedfs.cn/prod/prd-img/56/31/15/00/00/01/10000153156_3.jpg
,16398,10000153153,$21,蒂普提克,DIPTYQUE,CANDLE LID  蜡烛盖儿,http://static.lottedfs.cn/prod/prd-img/53/31/15/00/00/01/10000153153_3.jpg
,16398,20000596529,$210,蒂普提克,DIPTYQUE,2019 ESSENCE INSENSEES 香水,http://static.lottedfs.cn/prod/prd-img/61/81/71/00/00/02/20000718161_1.jpg
,16398,20000501212,$45,蒂普提克,DIPTYQUE,HAND AND BODY GEL EAU DES SENS 沐浴露 200ml,http://static.lottedfs.cn/prod/prd-img/18/06/49/00/00/02/20000490618_1.jpg
畅销,16398,20000430560,$57,蒂普提克,DIPTYQUE,HAIR MIST EAU ROSE  头发喷雾 30ml,http://static.lottedfs.cn/prod/prd-img/29/55/45/00/00/02/20000455529_1.jpg
,16398,10003152038,$52,蒂普提克,DIPTYQUE,DPT 2017 REFILL FOR HG DIFFUSER FLEUR D ORANGER 芳香剂 75ml,http://static.lottedfs.cn/prod/prd-img/38/20/15/03/00/01/10003152038_2.jpg
,16398,10000174034,$39,蒂普提克,DIPTYQUE,DPT MINI CANDLE VERVEINE 香薰蜡烛 70g,http://static.lottedfs.cn/prod/prd-img/34/40/17/00/00/01/10000174034_4.jpg
,16398,20000615028,$55,蒂普提克,DIPTYQUE,PERFUMED PATCH 香氛纹身貼紙 LOMBRE DANS LEAU,http://static.lottedfs.cn/prod/prd-img/37/46/75/00/00/02/20000754637_3.jpg
,16398,20000600516,$159,蒂普提克,DIPTYQUE,EDP OUD PALAO 香水 75ml,http://static.lottedfs.cn/prod/prd-img/60/68/72/00/00/02/20000726860_1.jpg
,16398,20000596555,$30,蒂普提克,DIPTYQUE,SOAP TAM DAO 香皂 150g,http://static.lottedfs.cn/prod/prd-img/35/82/71/00/00/02/20000718235_1.jpg
,16398,20000559581,$179,套装商品,,HAND AND BODY GEL EAU DES SENS 沐浴露 200ml + EAU DES SENS EAU DE TOILETTE 香水 100ml 套装,http://static.lottedfs.cn/prod/prd-img/76/10/66/00/00/02/20000661076_1.jpg
,16398,20000522192,$159,蒂普提克,DIPTYQUE,EAU DE PARFUM VOLUTES 香水 75ml,http://static.lottedfs.cn/prod/prd-img/72/60/46/01/00/01/10001466072_01.jpg
,16398,20000483022,$80,蒂普提克,DIPTYQUE,CANDLE 34 BOULEVARD SAINT GERMAIN 香薰蜡烛 220g,http://static.lottedfs.cn/prod/prd-img/02/67/53/00/00/02/20000536702_2.jpg
,16398,20000451455,$134,蒂普提克,DIPTYQUE,EDT EAU DE NEROLI 香水 100ml,http://static.lottedfs.cn/prod/prd-img/12/06/49/00/00/02/20000490612_1.jpg
