tag,brand_No,product_No,us_price,brand_name_chn,brand_name_eng,product_name,img_url
促销,11095,20000526714,$216,卡尔文·克莱恩,CALVIN KLEIN,CK1241SK 201 墨镜,http://static.lottedfs.cn/prod/prd-img/87/32/60/00/00/02/20000603287_1.jpg
促销,11095,20000561544,$290,卡尔文·克莱恩,CALVIN KLEIN,CK18717SK 702 56 墨镜,http://static.lottedfs.cn/prod/prd-img/14/37/66/00/00/02/20000663714_1.jpg
促销,11095,20000561539,$290,卡尔文·克莱恩,CALVIN KLEIN,CK18717SK 240 56 墨镜,http://static.lottedfs.cn/prod/prd-img/06/37/66/00/00/02/20000663706_1.jpg
促销,11095,20000561534,$290,卡尔文·克莱恩,CALVIN KLEIN,CK18717SK 002 56 墨镜,http://static.lottedfs.cn/prod/prd-img/01/37/66/00/00/02/20000663701_1.jpg
促销,11095,20000561529,$290,卡尔文·克莱恩,CALVIN KLEIN,CK18717SK 001 56 墨镜,http://static.lottedfs.cn/prod/prd-img/93/36/66/00/00/02/20000663693_1.jpg
,11095,20000561525,$198,卡尔文·克莱恩,CALVIN KLEIN,CK18302SK 717 63 墨镜,http://static.lottedfs.cn/prod/prd-img/89/36/66/00/00/02/20000663689_1.jpg
,11095,20000561521,$198,卡尔文·克莱恩,CALVIN KLEIN,CK18302SK 201 63 墨镜,http://static.lottedfs.cn/prod/prd-img/82/36/66/00/00/02/20000663682_1.jpg
,11095,20000561513,$198,卡尔文·克莱恩,CALVIN KLEIN,CK18302SK 009 63 墨镜,http://static.lottedfs.cn/prod/prd-img/70/36/66/00/00/02/20000663670_1.jpg
,11095,20000561505,$198,卡尔文·克莱恩,CALVIN KLEIN,CK18302SK 002 63 墨镜,http://static.lottedfs.cn/prod/prd-img/60/36/66/00/00/02/20000663660_1.jpg
促销,11095,20000537723,$290,卡尔文·克莱恩,CALVIN KLEIN,CK18718SK 410 56 墨镜,http://static.lottedfs.cn/prod/prd-img/35/27/62/00/00/02/20000622735_1.jpg
促销,11095,20000537722,$290,卡尔文·克莱恩,CALVIN KLEIN,CK18718SK 020 56 墨镜,http://static.lottedfs.cn/prod/prd-img/34/27/62/00/00/02/20000622734_1.jpg
促销,11095,20000537721,$290,卡尔文·克莱恩,CALVIN KLEIN,CK18718SK 011 56 墨镜,http://static.lottedfs.cn/prod/prd-img/33/27/62/00/00/02/20000622733_1.jpg
促销,11095,20000537698,$290,卡尔文·克莱恩,CALVIN KLEIN,CK18718SK 001 56 墨镜,http://static.lottedfs.cn/prod/prd-img/96/26/62/00/00/02/20000622696_1.jpg
,11095,20000537692,$198,卡尔文·克莱恩,CALVIN KLEIN,CK18301SK 716 58 墨镜,http://static.lottedfs.cn/prod/prd-img/90/26/62/00/00/02/20000622690_1.jpg
,11095,20000537688,$198,卡尔文·克莱恩,CALVIN KLEIN,CK18301SK 780 58 墨镜,http://static.lottedfs.cn/prod/prd-img/86/26/62/00/00/02/20000622686_1.jpg
,11095,20000537679,$198,卡尔文·克莱恩,CALVIN KLEIN,CK18301SK 781 58 墨镜,http://static.lottedfs.cn/prod/prd-img/71/26/62/00/00/02/20000622671_1.jpg
,11095,20000537669,$198,卡尔文·克莱恩,CALVIN KLEIN,CK18301SK 717 58 墨镜,http://static.lottedfs.cn/prod/prd-img/59/26/62/00/00/02/20000622659_1.jpg
促销,11095,20000537413,$250,卡尔文·克莱恩,CALVIN KLEIN,CK1211SK 060 墨镜,http://static.lottedfs.cn/prod/prd-img/75/21/62/00/00/02/20000622175_1.jpg
促销,11095,20000532837,$258,卡尔文·克莱恩,CALVIN KLEIN,CK18305SK 008 67 墨镜,http://static.lottedfs.cn/prod/prd-img/32/35/61/00/00/02/20000613532_1.jpg
促销,11095,20000532834,$258,卡尔文·克莱恩,CALVIN KLEIN,CK18305SK 001 67 墨镜,http://static.lottedfs.cn/prod/prd-img/21/35/61/00/00/02/20000613521_1.jpg
促销,11095,20000532830,$258,卡尔文·克莱恩,CALVIN KLEIN,CK18305SK 200 67 墨镜,http://static.lottedfs.cn/prod/prd-img/17/35/61/00/00/02/20000613517_1.jpg
,11095,20000532823,$198,卡尔文·克莱恩,CALVIN KLEIN,CK18303SK 717 63 墨镜,http://static.lottedfs.cn/prod/prd-img/87/34/61/00/00/02/20000613487_1.jpg
