tag,brand_No,product_No,us_price,brand_name_chn,brand_name_eng,product_name,img_url
乐天专售,1001411,20000547057,$19,LEEYOUNGAE,LEE YOUNGAE,BEAUTY CARE MASK AND CREAM 面膜 5片,http://static.lottedfs.cn/prod/prd-img/99/84/63/00/00/02/20000638499_1.jpg
乐天专售,1001411,20000456736,$12,LEEYOUNGAE,LEE YOUNGAE,MORNING MIST 早安喷雾 140ml,http://static.lottedfs.cn/prod/prd-img/03/80/49/00/00/02/20000498003_1.jpg
畅销 乐天专售,1001411,20000456693,$23,LEEYOUNGAE,LEE YOUNGAE,MORNING KLENZER 早安洁面泡沫 150ml,http://static.lottedfs.cn/prod/prd-img/32/79/49/00/00/02/20000497932_1.jpg
乐天专售,1001411,20000456739,$28,LEEYOUNGAE,LEE YOUNGAE,OIL PLUS 面部精油 30ml,http://static.lottedfs.cn/prod/prd-img/06/80/49/00/00/02/20000498006_1.jpg
畅销 乐天专售,1001411,20000555511,$41,LEEYOUNGAE,LEE YOUNGAE,CREAM AND LOTION DUO,http://static.lottedfs.cn/prod/prd-img/44/35/65/00/00/02/20000653544_1.jpg
乐天专售,1001411,20000504483,$46,LEEYOUNGAE,LEE YOUNGAE,CREAM AND PLUS 面霜 100g,http://static.lottedfs.cn/prod/prd-img/22/79/49/00/00/02/20000497922_1.jpg
畅销 乐天专售,1001411,20000575142,$23,LEEYOUNGAE,LEE YOUNGAE,SHAMPOO PLUS 洗发水 300g,http://static.lottedfs.cn/prod/prd-img/92/32/68/00/00/02/20000683292_1.png
乐天专售,1001411,20000540035,$12,LEEYOUNGAE,LEE YOUNGAE,"GRAIN KLENZER 50g (中性, 干性肌肤用)",http://static.lottedfs.cn/prod/prd-img/89/71/62/00/00/02/20000627189_1.jpg
乐天专售,1001411,20000456740,$23,LEEYOUNGAE,LEE YOUNGAE,MIST ALL 全效喷雾 90ml,http://static.lottedfs.cn/prod/prd-img/07/80/49/00/00/02/20000498007_1.jpg
乐天专售,1001411,20000456695,$18,LEEYOUNGAE,LEE YOUNGAE,FACIAL TREATMENT AO KLENZER 面部保养AO洁面乳  100g,http://static.lottedfs.cn/prod/prd-img/34/79/49/00/00/02/20000497934_1.jpg
乐天专售,1001411,20000563623,$23,LEEYOUNGAE,LEE YOUNGAE,MIST ALL LIGHT 喷雾 90ml,http://static.lottedfs.cn/prod/prd-img/97/72/66/00/00/02/20000667297_1.jpg
乐天专售,1001411,20000456709,$30,LEEYOUNGAE,LEE YOUNGAE,KLENZING OIL 卸妆油 140ml,http://static.lottedfs.cn/prod/prd-img/58/79/49/00/00/02/20000497958_1.jpg
乐天专售,1001411,20000521713,$111,LEEYOUNGAE,LEE YOUNGAE,CREME ALL NEW 面霜 50g,http://static.lottedfs.cn/prod/prd-img/56/55/59/00/00/02/20000595556_1.jpg
畅销 乐天专售,1001411,20000479169,$22,LEEYOUNGAE,LEE YOUNGAE,AO BALL CLEANSER NEUTRAL SCENTED 洁面皂 85g,http://static.lottedfs.cn/prod/prd-img/61/03/53/00/00/02/20000530361_1.jpg
乐天专售,1001411,20000555505,$175,LEEYOUNGAE,LEE YOUNGAE,CREAM ALL DUO SET 面霜2件套,http://static.lottedfs.cn/prod/prd-img/29/35/65/00/00/02/20000653529_1.jpg
乐天专售,1001411,20000540030,$12,LEEYOUNGAE,LEE YOUNGAE,"GRAIN KLENZER 50g (极度干性, 敏感性肌肤)",http://static.lottedfs.cn/prod/prd-img/80/71/62/00/00/02/20000627180_1.jpg
乐天专售,1001411,20000555312,$115,LEEYOUNGAE,LEE YOUNGAE,BEST SELLER SET 护肤套装,http://static.lottedfs.cn/prod/prd-img/62/31/65/00/00/02/20000653162_1.jpg
畅销 乐天专售,1001411,20000540037,$22,LEEYOUNGAE,LEE YOUNGAE,"AO BAR KLENZER 洁面皂 85g (油性, 混合性肌肤)",http://static.lottedfs.cn/prod/prd-img/00/72/62/00/00/02/20000627200_1.jpg
乐天专售,1001411,20000540014,$32,LEEYOUNGAE,LEE YOUNGAE,BODY TREATMENT OIL 身体润肤油 140ml,http://static.lottedfs.cn/prod/prd-img/48/71/62/00/00/02/20000627148_1.jpg
乐天专售,1001411,20000456735,$9,LEEYOUNGAE,LEE YOUNGAE,MORNING MIST 早安喷雾 90ml,http://static.lottedfs.cn/prod/prd-img/02/80/49/00/00/02/20000498002_1.jpg
乐天专售,1001411,20000456710,$97,LEEYOUNGAE,LEE YOUNGAE,CREAM ALL 多效营养补水面霜 50g,http://static.lottedfs.cn/prod/prd-img/59/79/49/00/00/02/20000497959_1.jpg
乐天专售,1001411,20000456652,$23,LEEYOUNGAE,LEE YOUNGAE,CREAM AND LOTION ACID BALANCED 保湿乳霜( 弱酸性 ) 150g,http://static.lottedfs.cn/prod/prd-img/87/78/49/00/00/02/20000497887_1.jpg
乐天专售,1001411,20000577762,$17,LEEYOUNGAE,LEE YOUNGAE,LIPCARE INTENSIVE 润唇膏 4.5g,http://static.lottedfs.cn/prod/prd-img/07/71/68/00/00/02/20000687107_1.jpg
乐天专售,1001411,20000540039,$29,LEEYOUNGAE,LEE YOUNGAE,FACIAL SCRUB 面部磨砂膏 100g,http://static.lottedfs.cn/prod/prd-img/03/72/62/00/00/02/20000627203_1.jpg
乐天专售,1001411,20000456745,$23,LEEYOUNGAE,LEE YOUNGAE,BODY CREAM 身体滋润乳霜 150g,http://static.lottedfs.cn/prod/prd-img/12/80/49/00/00/02/20000498012_1.jpg
乐天专售,1001411,20000456700,$18,LEEYOUNGAE,LEE YOUNGAE,CLEANSER 7  洁面乳 100g,http://static.lottedfs.cn/prod/prd-img/49/79/49/00/00/02/20000497949_1.jpg
乐天专售,1001411,20000456667,$17,LEEYOUNGAE,LEE YOUNGAE,SKIN TONIC BALM  肌肤滋养膏 15g,http://static.lottedfs.cn/prod/prd-img/02/79/49/00/00/02/20000497902_1.jpg
乐天专售 免税独家,1001411,20000577721,$115,LEEYOUNGAE,LEE YOUNGAE,BEST SELLER SET (CREAM ALL LARGE SIZE LIMITED EDITION) 护肤套装,http://static.lottedfs.cn/prod/prd-img/57/70/68/00/00/02/20000687057_1.png
乐天专售,1001411,20000456741,$28,LEEYOUNGAE,LEE YOUNGAE,GEL CREAM 紧致眼霜 30g,http://static.lottedfs.cn/prod/prd-img/08/80/49/00/00/02/20000498008_1.jpg
乐天专售,1001411,20000456676,$19,LEEYOUNGAE,LEE YOUNGAE,SHOWER AND WASHING 柔和沐浴露 300ml,http://static.lottedfs.cn/prod/prd-img/13/79/49/00/00/02/20000497913_1.jpg
乐天专售,1001411,20000456628,$35,LEEYOUNGAE,LEE YOUNGAE,TREATMENT CREAM  全效护理霜（孕妇妊娠纹护理霜） 150g,http://static.lottedfs.cn/prod/prd-img/62/78/49/00/00/02/20000497862_3.jpg
