tag,brand_No,product_No,us_price,brand_name_chn,brand_name_eng,product_name,img_url
赠品,10314,20000637383,$90,巴黎欧莱雅,LOREAL PARIS,巴黎欧莱雅 - 黑精华青春密码 - 2020 CNY限量版 酵素面部精华液双重套装 (75ml*2) -  抗衰老,http://static.lottedfs.cn/prod/prd-img/61/69/78/00/00/02/20000786961_1.png
免税独家,10314,20000458595,$41,巴黎欧莱雅,LOREAL PARIS,巴黎欧莱雅复颜抗皱滋润眼霜 三件套 (15ml x3) -  紧致抗衰老淡化细纹黑眼圈眼袋,http://static.lottedfs.cn/prod/prd-img/67/07/50/00/00/02/20000500767_1.jpg
赠品,10314,20000637373,$101,巴黎欧莱雅,LOREAL PARIS,巴黎欧莱雅 - 复颜抗皱紧致 - 2020 CNY限量版套装 (眼霜 15ml + 日霜 50ml + 晚霜 50ml + 酵素精华肌底液 75ml) - 抗衰老,http://static.lottedfs.cn/prod/prd-img/51/69/78/00/00/02/20000786951_1.png
,10314,20000541486,$14,巴黎欧莱雅,LOREAL PARIS,巴黎欧莱雅小钢笔印迹唇釉 - 不掉色防水哑光雾面口红,http://static.lottedfs.cn/prod/prd-img/48/99/62/00/00/02/20000629948_1.jpg
,10314,10003077578,$56,巴黎欧莱雅,LOREAL PARIS,巴黎欧莱雅黑精华青春密码酵素面部精华液双重套装 (肌底液 30ml x2) - 抗初老紧致补水保湿肌底液,http://static.lottedfs.cn/prod/prd-img/78/75/07/03/00/01/10003077578_06.jpg
免税独家,10314,10001819050,$30,巴黎欧莱雅,LOREAL PARIS,巴黎欧莱雅清润深海洋普通至混合性肤质凝露霜双重套装 50ml x2 - 补水保湿提亮肤色,http://static.lottedfs.cn/prod/prd-img/50/90/81/01/00/01/10001819050_7.jpg
畅销,10314,20000473953,$23,巴黎欧莱雅,LOREAL PARIS,巴黎欧莱雅 - 复颜抗皱紧致系列 - 滋润日霜 - 50ml - 抗衰老,http://static.lottedfs.cn/prod/prd-img/54/25/52/00/00/02/20000522554_1.jpg
,10314,20000251872,$27,巴黎欧莱雅,LOREAL PARIS,巴黎欧莱雅黑精华青春密码酵素眼部肌底夜精华液 20ml - 紧致细纹淡化黑眼圈眼袋,http://static.lottedfs.cn/prod/prd-img/84/04/26/00/00/02/20000260484_1.JPG
畅销,10314,10003100485,$19,巴黎欧莱雅,LOREAL PARIS,巴黎欧莱雅复颜玻尿酸水光充盈导入晶露 130ml - 紧致修复补水保湿修护,http://static.lottedfs.cn/prod/prd-img/85/04/10/03/00/01/10003100485_2.jpg
,10314,20000473961,$16,巴黎欧莱雅,LOREAL PARIS,巴黎欧莱雅复颜抗皱滋润眼霜 - 夜间保湿淡纹修护紧致滋润抗衰老,http://static.lottedfs.cn/prod/prd-img/64/25/52/00/00/02/20000522564_1.jpg
,10314,10000058767,$11,巴黎欧莱雅,LOREAL PARIS,巴黎欧莱雅复颜抗皱紧致清乳柔肤水 200ml - 抗衰老,http://static.lottedfs.cn/prod/prd-img/67/87/05/00/00/01/10000058767_8.jpg
免税独家,10314,20000410839,$26,巴黎欧莱雅,LOREAL PARIS,巴黎欧莱雅复颜抗皱紧致滋润乳液 110ml - 保湿滋润抗衰老,http://static.lottedfs.cn/prod/prd-img/70/90/42/00/00/02/20000429070_3.jpg
,10314,10001951419,$26,巴黎欧莱雅,LOREAL PARIS,巴黎欧莱雅雪颜科研净白祛斑精华液 30ml - 面部补水保湿滋润提亮肤色,http://static.lottedfs.cn/prod/prd-img/19/14/95/01/00/01/10001951419_8.jpg
畅销 免税独家,10314,20000383559,$10,巴黎欧莱雅,LOREAL PARIS,巴黎欧莱雅复颜洁面乳 125ml - 补水深层清洁紧致,http://static.lottedfs.cn/prod/prd-img/91/74/39/00/00/02/20000397491_1.JPG
畅销 免税独家,10314,10001959039,$41,巴黎欧莱雅,LOREAL PARIS,巴黎欧莱雅惊艳特长美睫膜3支装 (6ml*2) x3)  - #黑色 -防水纤长浓密卷翘不晕染自然持久,http://static.lottedfs.cn/prod/prd-img/39/90/95/01/00/01/10001959039_10.jpg
畅销,10314,20000602453,$87,巴黎欧莱雅,LOREAL PARIS,巴黎欧莱雅 - 复颜玻尿酸水光充盈 - 全脸淡纹眼霜三件装 (眼霜 30ml x 3) - 抗衰老- 套裝,http://static.lottedfs.cn/prod/prd-img/32/11/73/00/00/02/20000731132_1.jpg
免税独家,10314,20000494307,$11,巴黎欧莱雅,LOREAL PARIS,巴黎欧莱雅 纷泽 滋润唇膏,http://static.lottedfs.cn/prod/prd-img/89/57/55/00/00/02/20000555789_1.JPG
免税独家,10314,10002125793,$30,巴黎欧莱雅,LOREAL PARIS,巴黎欧莱雅清润深海洋干性至敏感性肤质凝露霜双重套装 50ml x2 - 补水保湿提亮肤色,http://static.lottedfs.cn/prod/prd-img/93/57/12/02/00/01/10002125793_1.JPG
,10314,20000580421,$5,巴黎欧莱雅,LOREAL PARIS,巴黎欧莱雅 -  水能保湿  - INSTANT BRIGHTENING CLEANSING FOAM - 100ml - 男士护肤 - 洁面乳,http://static.lottedfs.cn/prod/prd-img/61/07/69/00/00/02/20000690761_1.jpg
,10314,10002122661,$28,巴黎欧莱雅,LOREAL PARIS,巴黎欧莱雅复颜玻尿酸水光导入日霜 50ml - 补水滋养修复紧致淡细纹,http://static.lottedfs.cn/prod/prd-img/61/26/12/02/00/01/10002122661_6.JPG
