tag,brand_No,product_No,us_price,brand_name_chn,brand_name_eng,product_name,img_url
赠品,1002846,20000606861,$50,KANGOL KIDS,KANGOL KIDS,LOGO BRUSHED SWEATSHIRT 0101 儿童卫衣 PINK,http://static.lottedfs.cn/prod/prd-img/44/00/74/00/00/02/20000740044_1.JPG
畅销 赠品,1002846,20000603505,$18,KANGOL KIDS,KANGOL KIDS,MINI ID HOLDER 0001 儿童卡包 DARK NAVY,http://static.lottedfs.cn/prod/prd-img/95/33/73/00/00/02/20000733395_1.JPG
赠品,1002846,20000633939,$29,KANGOL KIDS,KANGOL KIDS,SHORT WATER LEGGIGNS 0005 儿童泳裤 NAVY,http://static.lottedfs.cn/prod/prd-img/09/23/78/00/00/02/20000782309_1.jpg
畅销 赠品,1002846,20000603490,$115,KANGOL KIDS,KANGOL KIDS,WILLIAM HIGH BACKPACK 0001 儿童双肩包 BLACK,http://static.lottedfs.cn/prod/prd-img/71/33/73/00/00/02/20000733371_1.JPG
赠品,1002846,20000633937,$29,KANGOL KIDS,KANGOL KIDS,SHORT WATER LEGGIGNS 0005 儿童泳裤 DARKGREY,http://static.lottedfs.cn/prod/prd-img/02/23/78/00/00/02/20000782302_1.jpg
赠品,1002846,20000606855,$50,KANGOL KIDS,KANGOL KIDS,LOGO BRUSHED SWEATSHIRT 0101 儿童卫衣 GREEN,http://static.lottedfs.cn/prod/prd-img/22/00/74/00/00/02/20000740022_1.JPG
赠品,1002846,20000613390,$28,KANGOL KIDS,KANGOL KIDS,C SHOULDER BAG I 0003 儿童单肩包 BLACK,http://static.lottedfs.cn/prod/prd-img/17/14/75/00/00/02/20000751417_1.JPG
畅销 赠品,1002846,20000613320,$115,KANGOL KIDS,KANGOL KIDS,CALVIN BACKPACK 0006 双肩包 BLUE,http://static.lottedfs.cn/prod/prd-img/72/12/75/00/00/02/20000751272_1.JPG
赠品,1002846,20000606847,$64,KANGOL KIDS,KANGOL KIDS,BIG LOGO BRUSHED HOODIE 0102 儿童连帽卫衣 MUSTARD,http://static.lottedfs.cn/prod/prd-img/93/99/73/00/00/02/20000739993_1.JPG
赠品,1002846,20000603159,$35,KANGOL KIDS,KANGOL KIDS,JERRY ECO BAG 0003 儿童帆布包 BLACK,http://static.lottedfs.cn/prod/prd-img/74/29/73/00/00/02/20000732974_1.JPG
赠品,1002846,20000633920,$33,KANGOL KIDS,KANGOL KIDS,RASHGUARD ZIP UP 0003  拉链防晒泳衣 PURPLE,http://static.lottedfs.cn/prod/prd-img/35/22/78/00/00/02/20000782235_1.jpg
赠品,1002846,20000633912,$29,KANGOL KIDS,KANGOL KIDS,SYMBOL RAGLAN LASHGUARD 0002 DARK GREY 儿童防晒长袖游泳上衣,http://static.lottedfs.cn/prod/prd-img/06/22/78/00/00/02/20000782206_1.jpg
赠品,1002846,20000613386,$35,KANGOL KIDS,KANGOL KIDS,C SHOULDER BAG Ⅱ 0004 儿童单肩包 BLUE,http://static.lottedfs.cn/prod/prd-img/10/14/75/00/00/02/20000751410_1.JPG
赠品,1002846,20000613384,$35,KANGOL KIDS,KANGOL KIDS,C SHOULDER BAG Ⅱ 0004 儿童单肩包 BLACK,http://static.lottedfs.cn/prod/prd-img/08/14/75/00/00/02/20000751408_1.JPG
赠品,1002846,20000613319,$115,KANGOL KIDS,KANGOL KIDS,CALVIN BACKPACK 0006 双肩包 BLACK,http://static.lottedfs.cn/prod/prd-img/71/12/75/00/00/02/20000751271_1.JPG
赠品,1002846,20000613313,$108,KANGOL KIDS,KANGOL KIDS,CHASE BACKPACK 0005 双肩包 BLACK,http://static.lottedfs.cn/prod/prd-img/62/12/75/00/00/02/20000751262_1.JPG
赠品,1002846,20000606772,$50,KANGOL KIDS,KANGOL KIDS,LOGO BASIC SWEATPANTS 0101 儿童运动裤 BLACK,http://static.lottedfs.cn/prod/prd-img/82/97/73/00/00/02/20000739782_1.JPG
赠品,1002846,20000637384,$7,KANGOL KIDS,KANGOL KIDS,STRIPE SOCKS 0401 儿童袜子 LIGHT BEIGE,http://static.lottedfs.cn/prod/prd-img/65/69/78/00/00/02/20000786965_1.JPG
畅销 赠品,1002846,20000603530,$50,KANGOL KIDS,KANGOL KIDS,CROSS SLING BAG 0001 儿童包 DARK GREEN,http://static.lottedfs.cn/prod/prd-img/40/34/73/00/00/02/20000733440_1.JPG
