tag,brand_No,product_No,us_price,brand_name_chn,brand_name_eng,product_name,img_url
促销,19717,20000603587,$150,CALVIN KLEIN,CALVIN KLEIN,MNGRM BELT GIFT 38MM 腰带,http://static.lottedfs.cn/prod/prd-img/77/35/73/00/00/02/20000733577_1.JPG
促销,19717,20000474050,$100,CALVIN KLEIN,CALVIN KLEIN,ROLLER REV 35mm 45 腰带,http://static.lottedfs.cn/prod/prd-img/98/27/52/00/00/02/20000522798_1.JPG
促销,19717,20000516709,$125,CALVIN KLEIN,CALVIN KLEIN,PEBBLE ESSENTIALS PU FLATPACK 斜挎包,http://static.lottedfs.cn/prod/prd-img/32/94/58/00/00/02/20000589432_1.JPG
促销 畅销,19717,20000623598,$105,CALVIN KLEIN,CALVIN KLEIN,UTILITY BAG 斜挎包,http://static.lottedfs.cn/prod/prd-img/17/74/76/00/00/02/20000767417_1.JPG
促销,19717,20000516715,$192,CALVIN KLEIN,CALVIN KLEIN,ULTRA LIGHT CAMPUS BACKPACK 45 背包,http://static.lottedfs.cn/prod/prd-img/38/94/58/00/00/02/20000589438_1.JPG
促销,19717,20000511208,$125,CALVIN KLEIN,CALVIN KLEIN,SMOOTH ESSENTIALS FLATPACK 斜挎包,http://static.lottedfs.cn/prod/prd-img/80/13/58/00/00/02/20000581380_1.JPG
促销,19717,20000495341,$83,CALVIN KLEIN,CALVIN KLEIN,ULTRA LIGHT WRISTLET SHOULDER BG 单肩包,http://static.lottedfs.cn/prod/prd-img/67/74/55/00/00/02/20000557467_1.JPG
促销,19717,20000495326,$192,CALVIN KLEIN,CALVIN KLEIN,ULTRA LIGHT MULTI COMPARTMENT BP 背包,http://static.lottedfs.cn/prod/prd-img/52/74/55/00/00/02/20000557452_1.JPG
促销 畅销,19717,20000494331,$158,CALVIN KLEIN,CALVIN KLEIN,COATED CANVAS SLING BACKPACK 背包,http://static.lottedfs.cn/prod/prd-img/19/58/55/00/00/02/20000555819_1.JPG
促销,19717,20000474300,$192,CALVIN KLEIN,CALVIN KLEIN,PEBBLE ESSENTIALS PU SQUARE BACKPACK 40 背包,http://static.lottedfs.cn/prod/prd-img/33/33/52/00/00/02/20000523333_1.JPG
促销,19717,20000435181,$105,CALVIN KLEIN,CALVIN KLEIN,PILOT TWILL SQUARE BACKPACK-30  背包,http://static.lottedfs.cn/prod/prd-img/17/40/46/00/00/02/20000464017_1.JPG
促销,19717,20000422023,$225,CALVIN KLEIN,CALVIN KLEIN,BOX CITY BOX BAG 手提包,http://static.lottedfs.cn/prod/prd-img/26/34/44/00/00/02/20000443426_1.JPG
促销,19717,20000623616,$142,CALVIN KLEIN,CALVIN KLEIN,ZIP AROUND 长款钱包,http://static.lottedfs.cn/prod/prd-img/40/74/76/00/00/02/20000767440_1.JPG
