tag,brand_No,product_No,us_price,brand_name_chn,brand_name_eng,product_name,img_url
畅销 免税独家,19870,20000613928,$60,布克兄弟,BROOKSBROTHERS,PERFORMANCE SERIES POPLIN SHIRT 衬衣,http://static.lottedfs.cn/prod/prd-img/68/25/75/00/00/02/20000752568_1.jpg
促销 畅销,19870,20000613870,$106,布克兄弟,BROOKSBROTHERS,STRIPED PINPOINT YARNDYES SPORT SHIRT 衬衣,http://static.lottedfs.cn/prod/prd-img/06/24/75/00/00/02/20000752406_1.jpg
免税独家,19870,20000613755,$48,布克兄弟,BROOKSBROTHERS,GARMENT-DYED COTTON JERSEY LONG-SLEEVE T-SHIRT 长袖T恤,http://static.lottedfs.cn/prod/prd-img/11/22/75/00/00/02/20000752211_1.jpg
,19870,20000613413,$60,布克兄弟,BROOKSBROTHERS,PLAID COTTON OXFORD SPORT SHIRT 衬衫,http://static.lottedfs.cn/prod/prd-img/69/14/75/00/00/02/20000751469_1.jpg
免税独家,19870,20000596500,$42,布克兄弟,BROOKSBROTHERS,RED FLEECE NYC GRAPHIC T-SHIRT 短袖T恤,http://static.lottedfs.cn/prod/prd-img/21/81/71/00/00/02/20000718121_1.jpg
畅销,19870,20000534381,$28,布克兄弟,BROOKSBROTHERS,GARMENT DYED T SHIRT 男士T恤衫,http://static.lottedfs.cn/prod/prd-img/18/60/61/00/00/02/20000616018_1.jpg
新品,19870,20000637351,$70,布克兄弟,BROOKSBROTHERS,PERFORMANCE SERIES COOLMAX CREWNECK SWEATER 针织衫,http://static.lottedfs.cn/prod/prd-img/08/69/78/00/00/02/20000786908_1.jpg
促销 免税独家,19870,20000615360,$135,布克兄弟,BROOKSBROTHERS,LAMBSWOOL CABLE CREWNECK SWEATER 针织衫,http://static.lottedfs.cn/prod/prd-img/86/53/75/00/00/02/20000755386_1.JPG
促销 免税独家,19870,20000615351,$135,布克兄弟,BROOKSBROTHERS,LAMBSWOOL CABLE CREWNECK SWEATER 针织衫,http://static.lottedfs.cn/prod/prd-img/65/53/75/00/00/02/20000755365_1.JPG
,19870,20000613902,$60,布克兄弟,BROOKSBROTHERS,MULTI PLAID FLANNEL SHIRT 衬衣,http://static.lottedfs.cn/prod/prd-img/76/24/75/00/00/02/20000752476_1.jpg
,19870,20000613533,$48,布克兄弟,BROOKSBROTHERS,GARMENT DYED COTTON JERSEY LONG SLEEVE T SHIRT 长袖T恤,http://static.lottedfs.cn/prod/prd-img/12/18/75/00/00/02/20000751812_1.jpg
,19870,20000603915,$70,布克兄弟,BROOKSBROTHERS,COTTON JERSEY LONG SLEEVE HENLEY 男士上衣,http://static.lottedfs.cn/prod/prd-img/56/45/73/00/00/02/20000734556_1.jpg
